वेद प्रकाश शर्मा,https://hi.wikipedia.org/wiki/वेद_प्रकाश_शर्मा,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Urdu Version,Other Lang count
नान्हू राम,https://hi.wikipedia.org/wiki/नान्हू_राम,No,No,No,No,No,No,No,No,0
पी॰के॰ बीजू,https://hi.wikipedia.org/wiki/पी॰के॰_बीजू,Yes,No,No,No,No,No,No,No,3
हालडोर लाक्सनेस,https://hi.wikipedia.org/wiki/हालडोर_लाक्सनेस,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,75
प्रेम कुमार क्षेत्री,https://hi.wikipedia.org/wiki/प्रेम_कुमार_क्षेत्री,No,No,No,No,No,No,No,No,0
हिना गावित,https://hi.wikipedia.org/wiki/हिना_गावित,Yes,No,No,No,No,No,No,No,3
ग़ुलाम रब्बानी ताबाँ,https://hi.wikipedia.org/wiki/ग़ुलाम_रब्बानी_ताबाँ,Yes,No,No,No,No,No,No,No,2
सरदार मोहम्मद याकूब,https://hi.wikipedia.org/wiki/सरदार_मोहम्मद_याकूब,No,No,No,No,No,No,No,No,0
कश्मीरा जोगळेकर,https://hi.wikipedia.org/wiki/कश्मीरा_जोगळेकर,No,No,No,No,No,No,No,No,0
श्रद्धा मूसले,https://hi.wikipedia.org/wiki/श्रद्धा_मूसले,Yes,No,No,No,No,No,No,No,2
राधा (अभिनेत्री),https://hi.wikipedia.org/wiki/राधा_(अभिनेत्री),Yes,No,No,No,No,No,No,Yes,9
आदिल खान,https://hi.wikipedia.org/wiki/आदिल_खान,Yes,No,No,No,No,Yes,No,Yes,7
मोहम्मद अली बेग,https://hi.wikipedia.org/wiki/मोहम्मद_अली_बेग,Yes,No,No,No,No,No,No,Yes,4
राघव लखनपाल,https://hi.wikipedia.org/wiki/राघव_लखनपाल,Yes,No,No,No,No,No,No,No,2
नथुराम विनायक गोडसे,https://hi.wikipedia.org/wiki/नथुराम_विनायक_गोडसे,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,43
रमाबाई रानडे,https://hi.wikipedia.org/wiki/रमाबाई_रानडे,Yes,No,No,No,No,No,No,No,5
हेस्टिंग्स इस्माय,https://hi.wikipedia.org/wiki/हेस्टिंग्स_इस्माय,Yes,Yes,Yes,Yes,Yes,Yes,No,No,20
प्रकाश आम्बेडकर,https://hi.wikipedia.org/wiki/प्रकाश_आम्बेडकर,Yes,No,No,No,No,No,No,No,2
सत्यपाल सिंह,https://hi.wikipedia.org/wiki/सत्यपाल_सिंह,Yes,No,No,No,No,No,No,No,2
सुल्तान राही,https://hi.wikipedia.org/wiki/सुल्तान_राही,Yes,No,Yes,No,Yes,No,No,Yes,16
अमारा,https://hi.wikipedia.org/wiki/अमारा,Yes,No,Yes,No,Yes,Yes,No,No,20
अजीत जोगी,https://hi.wikipedia.org/wiki/अजीत_जोगी,Yes,No,No,No,No,No,No,No,4
के एस राव,https://hi.wikipedia.org/wiki/के_एस_राव,Yes,No,No,No,No,No,No,No,3
