Name,Url,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Hindi Version,Other Lang count
عبد العزیز محدث دہلوی,https://ur.wikipedia.org/wiki/عبد_العزیز_محدث_دہلوی,Yes,No,No,No,No,No,No,No,6
عبداللہ چغتائی,https://ur.wikipedia.org/wiki/عبداللہ_چغتائی,No,No,No,No,No,No,No,No,0
ناطق گلاؤٹھوی,https://ur.wikipedia.org/wiki/ناطق_گلاؤٹھوی,No,No,No,No,No,No,No,No,0
عمار بن یاسر,https://ur.wikipedia.org/wiki/عمار_بن_یاسر,Yes,No,Yes,Yes,No,No,No,No,20
ریچرڈ اسٹون,https://ur.wikipedia.org/wiki/ریچرڈ_اسٹون,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,43
چکرورتی راجگوپال آچاریہ,https://ur.wikipedia.org/wiki/چکرورتی_راجگوپال_آچاریہ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,29
شاہنواز بھٹو,https://ur.wikipedia.org/wiki/شاہنواز_بھٹو,Yes,No,Yes,No,No,No,No,No,4
سنتھا راما راؤ,https://ur.wikipedia.org/wiki/سنتھا_راما_راؤ,Yes,No,No,No,No,No,No,No,3
ولیم دوم شاہ انگلستان,https://ur.wikipedia.org/wiki/ولیم_دوم_شاہ_انگلستان,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,65
ابو بکر ابن العربی,https://ur.wikipedia.org/wiki/ابو_بکر_ابن_العربی,Yes,Yes,Yes,Yes,No,No,No,No,9
سعید بن بطریق,https://ur.wikipedia.org/wiki/سعید_بن_بطریق,Yes,Yes,Yes,No,No,Yes,Yes,No,9
اسماعیل گل جی,https://ur.wikipedia.org/wiki/اسماعیل_گل_جی,Yes,Yes,No,No,Yes,No,No,No,4
بیت اللہ محسود,https://ur.wikipedia.org/wiki/بیت_اللہ_محسود,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,21
دریہ شفیق,https://ur.wikipedia.org/wiki/دریہ_شفیق,Yes,Yes,Yes,Yes,Yes,No,No,Yes,12
منور بدایونی,https://ur.wikipedia.org/wiki/منور_بدایونی,No,No,No,No,No,No,No,No,0
یاقوت مستعصمی,https://ur.wikipedia.org/wiki/یاقوت_مستعصمی,Yes,Yes,Yes,No,No,No,No,No,8
حمید نسیم,https://ur.wikipedia.org/wiki/حمید_نسیم,No,No,No,No,No,No,No,No,0
رام پرساد بسمل,https://ur.wikipedia.org/wiki/رام_پرساد_بسمل,Yes,Yes,No,No,No,No,No,Yes,17
وحید مراد,https://ur.wikipedia.org/wiki/وحید_مراد,Yes,No,No,No,Yes,No,No,Yes,4
اوکٹاویو پاز,https://ur.wikipedia.org/wiki/اوکٹاویو_پاز,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,80
کناکم ٹی,https://ur.wikipedia.org/wiki/کناکم_ٹی,Yes,No,No,No,Yes,No,No,No,3
امداد حسین پیرزادہ,https://ur.wikipedia.org/wiki/امداد_حسین_پیرزادہ,Yes,No,No,No,No,No,No,No,1
الئی مٹینیکو,https://ur.wikipedia.org/wiki/الئی_مٹینیکو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,65
نواب نصیر حسین خاں خیال,https://ur.wikipedia.org/wiki/نواب_نصیر_حسین_خاں_خیال,No,No,No,No,No,No,No,No,0
الان مکلیوڈ کورمک,https://ur.wikipedia.org/wiki/الان_مکلیوڈ_کورمک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,42
شوق افزا سلطان,https://ur.wikipedia.org/wiki/شوق_افزا_سلطان,Yes,No,No,No,No,Yes,No,No,12
ظفر خان (علائی سالار),https://ur.wikipedia.org/wiki/ظفر_خان_(علائی_سالار),Yes,No,No,No,No,No,No,No,1
نافع بن عبد الرحمن المدنی,https://ur.wikipedia.org/wiki/نافع_بن_عبد_الرحمن_المدنی,Yes,No,Yes,No,No,No,No,No,8
سید امیر الدین کدوائی,https://ur.wikipedia.org/wiki/سید_امیر_الدین_کدوائی,Yes,No,No,No,No,No,No,No,3
ہنری ٹاوبی,https://ur.wikipedia.org/wiki/ہنری_ٹاوبی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,44
عبدالقادر ملا,https://ur.wikipedia.org/wiki/عبدالقادر_ملا,Yes,No,Yes,No,Yes,No,No,No,12
چیانگ کائی شیک,https://ur.wikipedia.org/wiki/چیانگ_کائی_شیک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,112
ابیگیل برسلین,https://ur.wikipedia.org/wiki/ابیگیل_برسلین,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,48
عنایت خان (مؤرخ),https://ur.wikipedia.org/wiki/عنایت_خان_(مؤرخ),Yes,No,No,No,No,No,No,No,1
عبد الرحیم بھرچونڈی,https://ur.wikipedia.org/wiki/عبد_الرحیم_بھرچونڈی,No,No,No,No,No,No,No,No,1
کیرن واٹرہاہن,https://ur.wikipedia.org/wiki/کیرن_واٹرہاہن,Yes,Yes,Yes,Yes,Yes,No,No,No,14
پاول چینکوف,https://ur.wikipedia.org/wiki/پاول_چینکوف,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,62
فضل ابن عباس,https://ur.wikipedia.org/wiki/فضل_ابن_عباس,Yes,No,No,No,No,No,No,No,7
الموفق باللہ,https://ur.wikipedia.org/wiki/الموفق_باللہ,Yes,Yes,Yes,Yes,No,No,Yes,No,12
ضیاء گوک الپ,https://ur.wikipedia.org/wiki/ضیاء_گوک_الپ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,28
شوکت حسین رضوی,https://ur.wikipedia.org/wiki/شوکت_حسین_رضوی,Yes,No,No,No,No,No,No,No,1
فرانز روزن تھال,https://ur.wikipedia.org/wiki/فرانز_روزن_تھال,Yes,Yes,No,Yes,Yes,No,Yes,No,9
نعمت اللہ شاہ ولی,https://ur.wikipedia.org/wiki/نعمت_اللہ_شاہ_ولی,Yes,No,Yes,No,No,No,No,No,10
محمد عباس شوشتری,https://ur.wikipedia.org/wiki/محمد_عباس_شوشتری,No,No,No,No,No,No,No,No,1
رادن صالح,https://ur.wikipedia.org/wiki/رادن_صالح,Yes,Yes,Yes,Yes,Yes,No,No,No,17
چیتنیا مہاپربھو,https://ur.wikipedia.org/wiki/چیتنیا_مہاپربھو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,35
گیانی دت سنگھ,https://ur.wikipedia.org/wiki/گیانی_دت_سنگھ,Yes,No,No,No,No,No,No,No,3
قادر بخش بیدل,https://ur.wikipedia.org/wiki/قادر_بخش_بیدل,Yes,No,No,No,No,No,No,No,4
قمر عباس ندیم,https://ur.wikipedia.org/wiki/قمر_عباس_ندیم,No,No,No,No,No,No,No,No,0
جون برنولی,https://ur.wikipedia.org/wiki/جون_برنولی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,57
چنگیز خان,https://ur.wikipedia.org/wiki/چنگیز_خان,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,149
مطلوب الحسن سید,https://ur.wikipedia.org/wiki/مطلوب_الحسن_سید,No,No,No,No,No,No,No,No,0
حمد اللہ مستوفی,https://ur.wikipedia.org/wiki/حمد_اللہ_مستوفی,Yes,Yes,No,Yes,No,No,Yes,No,21
ملکہ وکٹوریہ,https://ur.wikipedia.org/wiki/ملکہ_وکٹوریہ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,123
جارج ٹلر,https://ur.wikipedia.org/wiki/جارج_ٹلر,Yes,Yes,Yes,No,Yes,No,No,No,10
شیخ علی مدد,https://ur.wikipedia.org/wiki/شیخ_علی_مدد,Yes,No,No,No,No,No,No,No,1
بیبو (اداکارہ),https://ur.wikipedia.org/wiki/بیبو_(اداکارہ),Yes,No,No,No,No,No,No,No,3
آغا زاہد,https://ur.wikipedia.org/wiki/آغا_زاہد,Yes,No,No,No,No,No,No,No,2
ولیم پٹ,https://ur.wikipedia.org/wiki/ولیم_پٹ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,61
ہارلینڈ سینڈر,https://ur.wikipedia.org/wiki/ہارلینڈ_سینڈر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36
الحمیدی,https://ur.wikipedia.org/wiki/الحمیدی,Yes,Yes,No,No,No,No,No,No,4
عبد اللہ شاہ غازی,https://ur.wikipedia.org/wiki/عبد_اللہ_شاہ_غازی,Yes,No,No,No,No,No,No,No,2
ایساکو ساٹو,https://ur.wikipedia.org/wiki/ایساکو_ساٹو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,59
آنا برنابیچ,https://ur.wikipedia.org/wiki/آنا_برنابیچ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,34
عظیم عباسی,https://ur.wikipedia.org/wiki/عظیم_عباسی,No,No,No,No,No,No,No,No,0
ولیم بٹرورتھ بئلی,https://ur.wikipedia.org/wiki/ولیم_بٹرورتھ_بئلی,Yes,Yes,No,No,No,Yes,No,Yes,4
عبد اللہ ابن زبیر,https://ur.wikipedia.org/wiki/عبد_اللہ_ابن_زبیر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32
پرل ایس بک,https://ur.wikipedia.org/wiki/پرل_ایس_بک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,92
سوکمار رائے,https://ur.wikipedia.org/wiki/سوکمار_رائے,Yes,Yes,No,No,No,Yes,No,No,7
ابو زرعہ الرازی,https://ur.wikipedia.org/wiki/ابو_زرعہ_الرازی,Yes,No,No,No,No,No,No,No,4
حبیب بورقیبہ,https://ur.wikipedia.org/wiki/حبیب_بورقیبہ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,54
حلیمہ سلطان,https://ur.wikipedia.org/wiki/حلیمہ_سلطان,Yes,No,No,No,Yes,No,No,No,16
ممتاز قادری,https://ur.wikipedia.org/wiki/ممتاز_قادری,Yes,Yes,Yes,No,No,No,No,No,5
بشیر بن سعد,https://ur.wikipedia.org/wiki/بشیر_بن_سعد,Yes,Yes,No,Yes,No,No,No,No,10
طلال مداح,https://ur.wikipedia.org/wiki/طلال_مداح,Yes,No,No,No,No,No,No,No,8
ابن وحشیہ,https://ur.wikipedia.org/wiki/ابن_وحشیہ,Yes,Yes,Yes,Yes,No,No,No,No,14
چارلس کارنوالس,https://ur.wikipedia.org/wiki/چارلس_کارنوالس,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36
بودلہ بہار,https://ur.wikipedia.org/wiki/بودلہ_بہار,Yes,No,No,No,No,No,No,No,2
ایڈون لارڈ ویکس,https://ur.wikipedia.org/wiki/ایڈون_لارڈ_ویکس,Yes,Yes,Yes,Yes,Yes,No,No,No,11
مارتھا سکاٹ,https://ur.wikipedia.org/wiki/مارتھا_سکاٹ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,27
گوری لکشمی بائی,https://ur.wikipedia.org/wiki/گوری_لکشمی_بائی,Yes,No,No,No,No,No,No,No,6
خلف بن ہشام,https://ur.wikipedia.org/wiki/خلف_بن_ہشام,No,No,No,No,No,No,No,No,3
غلام حیدر وائیں,https://ur.wikipedia.org/wiki/غلام_حیدر_وائیں,Yes,No,No,No,No,No,No,Yes,3
سید محمد ہادی,https://ur.wikipedia.org/wiki/سید_محمد_ہادی,Yes,No,No,No,No,No,No,No,1
سرمد طارق,https://ur.wikipedia.org/wiki/سرمد_طارق,Yes,No,No,No,No,No,No,No,1
سلام مچھلی شہری,https://ur.wikipedia.org/wiki/سلام_مچھلی_شہری,Yes,No,No,No,No,No,No,No,1
حاجی مننا,https://ur.wikipedia.org/wiki/حاجی_مننا,No,No,No,No,No,No,No,No,0
عبدالعزیز الحکیم,https://ur.wikipedia.org/wiki/عبدالعزیز_الحکیم,Yes,Yes,Yes,No,Yes,Yes,Yes,No,15
ابو یوسف یعقوب المنصور,https://ur.wikipedia.org/wiki/ابو_یوسف_یعقوب_المنصور,Yes,Yes,Yes,Yes,Yes,No,Yes,No,21
پیٹریسیا نیل,https://ur.wikipedia.org/wiki/پیٹریسیا_نیل,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,52
جین کیگنی,https://ur.wikipedia.org/wiki/جین_کیگنی,Yes,No,Yes,No,No,No,No,No,8
لکسمبرگ کا سیجفرائڈ,https://ur.wikipedia.org/wiki/لکسمبرگ_کا_سیجفرائڈ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,20
جمبول جبائیف,https://ur.wikipedia.org/wiki/جمبول_جبائیف,Yes,No,Yes,Yes,Yes,No,No,No,19
سنڈی سمرز,https://ur.wikipedia.org/wiki/سنڈی_سمرز,Yes,No,No,No,No,No,No,No,3
میر انیس,https://ur.wikipedia.org/wiki/میر_انیس,Yes,No,No,No,No,No,No,Yes,8
نکیتا خروشچیف,https://ur.wikipedia.org/wiki/نکیتا_خروشچیف,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,113
سکینہ بنت حسین,https://ur.wikipedia.org/wiki/سکینہ_بنت_حسین,Yes,No,No,No,No,No,No,No,4
محمد ثانی,https://ur.wikipedia.org/wiki/محمد_ثانی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90
ال پاچینو,https://ur.wikipedia.org/wiki/ال_پاچینو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,96
الیکزینڈر کداکن,https://ur.wikipedia.org/wiki/الیکزینڈر_کداکن,Yes,No,No,No,No,No,No,Yes,5
گیلیو ناٹا,https://ur.wikipedia.org/wiki/گیلیو_ناٹا,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,52
اپریل 2018ء میں وفیات,https://ur.wikipedia.org/wiki/اپریل_2018ء_میں_وفیات,Yes,Yes,Yes,No,Yes,No,Yes,No,14
ہیرود اگرپا دوم,https://ur.wikipedia.org/wiki/ہیرود_اگرپا_دوم,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,30
کیتھرین ہیپبرن,https://ur.wikipedia.org/wiki/کیتھرین_ہیپبرن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,86
من موہن گھوش,https://ur.wikipedia.org/wiki/من_موہن_گھوش,Yes,No,No,No,No,No,No,No,2
رتھ ایلیس,https://ur.wikipedia.org/wiki/رتھ_ایلیس,Yes,Yes,Yes,Yes,No,Yes,No,No,11
خسرو اول,https://ur.wikipedia.org/wiki/خسرو_اول,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,48
فواد المہندس,https://ur.wikipedia.org/wiki/فواد_المہندس,Yes,Yes,Yes,No,No,No,No,No,6
حضرت ایشاں,https://ur.wikipedia.org/wiki/حضرت_ایشاں,Yes,No,Yes,No,No,No,No,No,2
شیخ ابو نصر موسیٰ,https://ur.wikipedia.org/wiki/شیخ_ابو_نصر_موسیٰ,No,No,No,No,No,No,No,No,0
لیوبیک کے جاں نثار,https://ur.wikipedia.org/wiki/لیوبیک_کے_جاں_نثار,Yes,Yes,Yes,No,Yes,No,No,No,7
اشتیاق احمد,https://ur.wikipedia.org/wiki/اشتیاق_احمد,Yes,No,No,No,No,No,No,No,1
حمید گل,https://ur.wikipedia.org/wiki/حمید_گل,Yes,Yes,Yes,No,Yes,No,No,Yes,6
فرزدق,https://ur.wikipedia.org/wiki/فرزدق,Yes,No,No,Yes,Yes,No,No,No,12
فردوسی,https://ur.wikipedia.org/wiki/فردوسی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,92
نطشے,https://ur.wikipedia.org/wiki/نطشے,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,149
نینسی ڈیوس ریگن,https://ur.wikipedia.org/wiki/نینسی_ڈیوس_ریگن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,81
رام سنگھ اول,https://ur.wikipedia.org/wiki/رام_سنگھ_اول,Yes,No,No,No,No,No,No,Yes,3
توما,https://ur.wikipedia.org/wiki/توما,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,69
رابرٹ کلپ,https://ur.wikipedia.org/wiki/رابرٹ_کلپ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,26
شاہجہان ثانی,https://ur.wikipedia.org/wiki/شاہجہان_ثانی,Yes,No,No,No,No,Yes,No,Yes,19
توما ایکویناس,https://ur.wikipedia.org/wiki/توما_ایکویناس,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,131
للہ عارفہ,https://ur.wikipedia.org/wiki/للہ_عارفہ,Yes,No,Yes,Yes,No,No,No,Yes,12
احنف بن قیس,https://ur.wikipedia.org/wiki/احنف_بن_قیس,Yes,No,No,No,No,No,No,No,4
ابر احسنی گنوری,https://ur.wikipedia.org/wiki/ابر_احسنی_گنوری,Yes,No,No,No,No,No,No,No,1
افضل خان,https://ur.wikipedia.org/wiki/افضل_خان,No,No,No,No,No,No,No,No,0
ظفر مسعود,https://ur.wikipedia.org/wiki/ظفر_مسعود,No,No,No,No,No,No,No,No,0
اعظم جاہ,https://ur.wikipedia.org/wiki/اعظم_جاہ,Yes,No,No,No,No,No,No,No,3
جولیا ڈروسیلا (کالیگولا کی بیٹی),https://ur.wikipedia.org/wiki/جولیا_ڈروسیلا_(کالیگولا_کی_بیٹی),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,18
پوپ گریگوری دہم,https://ur.wikipedia.org/wiki/پوپ_گریگوری_دہم,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,65
گرو گوبند سنگھ,https://ur.wikipedia.org/wiki/گرو_گوبند_سنگھ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41
معتصم باللہ,https://ur.wikipedia.org/wiki/معتصم_باللہ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,34
کوفی عنان,https://ur.wikipedia.org/wiki/کوفی_عنان,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,127
نلنی جیونت,https://ur.wikipedia.org/wiki/نلنی_جیونت,Yes,No,No,No,No,No,No,Yes,7
ہائنرش ہملر,https://ur.wikipedia.org/wiki/ہائنرش_ہملر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,82
آنند کمار سوامی,https://ur.wikipedia.org/wiki/آنند_کمار_سوامی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,26
عبد الرحمن ابراہیم ابن سوری,https://ur.wikipedia.org/wiki/عبد_الرحمن_ابراہیم_ابن_سوری,Yes,No,Yes,No,No,No,Yes,No,7
راجہ محمد سرور,https://ur.wikipedia.org/wiki/راجہ_محمد_سرور,Yes,No,No,No,No,No,No,No,4
دلائی لاما نہم,https://ur.wikipedia.org/wiki/دلائی_لاما_نہم,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,32
اڈوارڈ کیلون کینڈل,https://ur.wikipedia.org/wiki/اڈوارڈ_کیلون_کینڈل,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,44
جوزپہ پیاتسی,https://ur.wikipedia.org/wiki/جوزپہ_پیاتسی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,57
ہشام بن عاص,https://ur.wikipedia.org/wiki/ہشام_بن_عاص,Yes,No,No,No,No,No,No,No,5
الیکسی بروسیلوف,https://ur.wikipedia.org/wiki/الیکسی_بروسیلوف,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,45
ارنسٹ ٹیوڈورو مونیٹا,https://ur.wikipedia.org/wiki/ارنسٹ_ٹیوڈورو_مونیٹا,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,48
اسکارلیٹ جوہانسن,https://ur.wikipedia.org/wiki/اسکارلیٹ_جوہانسن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,112
سیف الدین جقمق,https://ur.wikipedia.org/wiki/سیف_الدین_جقمق,No,Yes,Yes,No,No,No,No,No,9
یحییٰ الطاہر عبداللہ,https://ur.wikipedia.org/wiki/یحییٰ_الطاہر_عبداللہ,Yes,No,No,No,No,Yes,No,No,4
سیون برگ سٹورم,https://ur.wikipedia.org/wiki/سیون_برگ_سٹورم,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,42
ابن عابدین,https://ur.wikipedia.org/wiki/ابن_عابدین,Yes,Yes,No,No,No,No,No,No,5
جولیس واگنر-جاورگ,https://ur.wikipedia.org/wiki/جولیس_واگنر-جاورگ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,43
ارنسٹ ہیمنگوئے,https://ur.wikipedia.org/wiki/ارنسٹ_ہیمنگوئے,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,135
محمد یعقوب علی,https://ur.wikipedia.org/wiki/محمد_یعقوب_علی,Yes,No,No,No,No,No,No,Yes,2
ایوا براؤن,https://ur.wikipedia.org/wiki/ایوا_براؤن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,71
لین ہٹن,https://ur.wikipedia.org/wiki/لین_ہٹن,Yes,No,Yes,No,No,No,No,Yes,9
بھگت سین,https://ur.wikipedia.org/wiki/بھگت_سین,Yes,No,Yes,No,No,No,No,No,4
اقبال ظفر جھگڑا,https://ur.wikipedia.org/wiki/اقبال_ظفر_جھگڑا,Yes,No,Yes,No,No,No,No,No,3
ولیم بوتھ,https://ur.wikipedia.org/wiki/ولیم_بوتھ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,30
علاؤ الدین صدیقی,https://ur.wikipedia.org/wiki/علاؤ_الدین_صدیقی,No,No,No,No,No,No,No,No,1
سوریا کانتم (اداکارہ),https://ur.wikipedia.org/wiki/سوریا_کانتم_(اداکارہ),Yes,No,No,No,No,No,No,No,2
عبدالباری فرنگی محلی,https://ur.wikipedia.org/wiki/عبدالباری_فرنگی_محلی,Yes,Yes,No,No,No,No,No,No,2
نیرو,https://ur.wikipedia.org/wiki/نیرو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,99
جین آسڑوس,https://ur.wikipedia.org/wiki/جین_آسڑوس,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,15
ملا محسن فیض کاشانی,https://ur.wikipedia.org/wiki/ملا_محسن_فیض_کاشانی,Yes,No,No,No,No,No,No,No,6
اشفاق عباسی,https://ur.wikipedia.org/wiki/اشفاق_عباسی,Yes,No,No,No,No,No,No,No,1
جوزف کونریڈ,https://ur.wikipedia.org/wiki/جوزف_کونریڈ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,78
دوست محمد قندھاری,https://ur.wikipedia.org/wiki/دوست_محمد_قندھاری,Yes,No,No,No,No,No,No,No,3
شہنشاہ تايشو,https://ur.wikipedia.org/wiki/شہنشاہ_تايشو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,55
جام غلام قادر خان,https://ur.wikipedia.org/wiki/جام_غلام_قادر_خان,Yes,No,No,No,No,No,No,Yes,3
شیواجی,https://ur.wikipedia.org/wiki/شیواجی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,52
زہیر بن قین,https://ur.wikipedia.org/wiki/زہیر_بن_قین,Yes,No,No,No,No,No,No,No,6
بو علی شاہ قلندر,https://ur.wikipedia.org/wiki/بو_علی_شاہ_قلندر,Yes,No,No,No,No,No,No,No,5
رچرڈ مڈلٹن,https://ur.wikipedia.org/wiki/رچرڈ_مڈلٹن,Yes,Yes,No,No,Yes,No,No,No,4
نرمل چندر سنہا,https://ur.wikipedia.org/wiki/نرمل_چندر_سنہا,Yes,No,No,No,No,No,No,No,2
محمد افضل ظلہ,https://ur.wikipedia.org/wiki/محمد_افضل_ظلہ,Yes,No,No,No,No,No,No,Yes,2
بوکاچیو,https://ur.wikipedia.org/wiki/بوکاچیو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,93
رچرڈ ایف ہیک,https://ur.wikipedia.org/wiki/رچرڈ_ایف_ہیک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,49
خلیفہ نذیر,https://ur.wikipedia.org/wiki/خلیفہ_نذیر,No,No,No,No,No,No,No,No,0
ڈومینک ڈیونی,https://ur.wikipedia.org/wiki/ڈومینک_ڈیونی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,17
نیللی بیلے,https://ur.wikipedia.org/wiki/نیللی_بیلے,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,46
ہاشمی رفسنجانی,https://ur.wikipedia.org/wiki/ہاشمی_رفسنجانی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,58
عصمت انونو,https://ur.wikipedia.org/wiki/عصمت_انونو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,54
ماہر القادری,https://ur.wikipedia.org/wiki/ماہر_القادری,No,No,No,No,No,No,No,No,0
اصمعی,https://ur.wikipedia.org/wiki/اصمعی,Yes,No,Yes,Yes,No,Yes,Yes,No,15
گلستو قادین آفندی,https://ur.wikipedia.org/wiki/گلستو_قادین_آفندی,Yes,No,No,No,No,No,No,No,8
میر علی شیر قانع ٹھٹوی,https://ur.wikipedia.org/wiki/میر_علی_شیر_قانع_ٹھٹوی,Yes,No,No,No,No,No,No,No,2
آچاریہ بھاسکر,https://ur.wikipedia.org/wiki/آچاریہ_بھاسکر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,46
یعقوب میراں مجتہدی,https://ur.wikipedia.org/wiki/یعقوب_میراں_مجتہدی,No,No,No,No,No,No,No,No,0
آغا افتخار حسین,https://ur.wikipedia.org/wiki/آغا_افتخار_حسین,No,No,No,No,No,No,No,No,0
صبا دشتیاری,https://ur.wikipedia.org/wiki/صبا_دشتیاری,Yes,No,No,No,No,No,No,No,1
الحافظ,https://ur.wikipedia.org/wiki/الحافظ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,17
اختر عثمان,https://ur.wikipedia.org/wiki/اختر_عثمان,No,No,No,No,No,No,No,No,0
جمشید مارکر,https://ur.wikipedia.org/wiki/جمشید_مارکر,Yes,Yes,No,No,No,No,No,No,3
سید مناظر احسن گیلانی,https://ur.wikipedia.org/wiki/سید_مناظر_احسن_گیلانی,Yes,No,No,No,No,No,No,No,1
حبیب بن مظاہر اسدی,https://ur.wikipedia.org/wiki/حبیب_بن_مظاہر_اسدی,Yes,No,Yes,No,No,No,No,No,7
این ملر,https://ur.wikipedia.org/wiki/این_ملر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,21
اسٹیفن لووین,https://ur.wikipedia.org/wiki/اسٹیفن_لووین,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,58
اکبر ککٹل,https://ur.wikipedia.org/wiki/اکبر_ککٹل,Yes,No,No,No,No,No,No,No,4
کرسچن بی اینفنسن,https://ur.wikipedia.org/wiki/کرسچن_بی_اینفنسن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,48
ذو نواس,https://ur.wikipedia.org/wiki/ذو_نواس,Yes,Yes,Yes,Yes,No,No,No,No,16
مہاراج غلام حسین کتھک,https://ur.wikipedia.org/wiki/مہاراج_غلام_حسین_کتھک,Yes,No,No,No,No,No,No,No,1
ریٹا ہیورتھ,https://ur.wikipedia.org/wiki/ریٹا_ہیورتھ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,82
سوسن پیٹرس,https://ur.wikipedia.org/wiki/سوسن_پیٹرس,Yes,Yes,Yes,Yes,Yes,Yes,No,No,20
کلاوڈ سمن,https://ur.wikipedia.org/wiki/کلاوڈ_سمن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,71
کیرن بلیک,https://ur.wikipedia.org/wiki/کیرن_بلیک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,37
پرسیلا ڈین,https://ur.wikipedia.org/wiki/پرسیلا_ڈین,Yes,No,Yes,Yes,Yes,No,Yes,No,12
مسیلمہ کذاب,https://ur.wikipedia.org/wiki/مسیلمہ_کذاب,Yes,Yes,Yes,Yes,Yes,No,No,No,23
